Date,High,Low,Open,Close,Volume,Adj Close
2017-01-02,4320.0,4320.0,4320.0,4320.0,0.0,4191.8603515625
2017-01-03,4360.0,4280.0,4300.0,4320.0,2691200.0,4191.8603515625
2017-01-04,4340.0,4300.0,4300.0,4330.0,5040200.0,4201.5634765625
2017-01-05,4360.0,4310.0,4350.0,4330.0,5095900.0,4201.5634765625
2017-01-06,4360.0,4300.0,4330.0,4350.0,4263200.0,4220.970703125
2017-01-09,4390.0,4270.0,4340.0,4280.0,4853300.0,4153.046875
2017-01-10,4300.0,4250.0,4270.0,4260.0,5152100.0,4133.64013671875
2017-01-11,4310.0,4220.0,4300.0,4270.0,4688400.0,4143.34326171875
2017-01-12,4270.0,4210.0,4250.0,4250.0,6936500.0,4123.9365234375
2017-01-13,4260.0,4210.0,4250.0,4250.0,1580100.0,4123.9365234375
2017-01-16,4270.0,4230.0,4250.0,4230.0,4675000.0,4104.52978515625
2017-01-17,4230.0,4180.0,4230.0,4180.0,6026900.0,4056.01318359375
2017-01-18,4240.0,4190.0,4200.0,4190.0,3968300.0,4065.71630859375
2017-01-19,4250.0,4190.0,4220.0,4250.0,3039800.0,4123.9365234375
2017-01-20,4250.0,4170.0,4250.0,4170.0,5285500.0,4046.309814453125
2017-01-23,4210.0,4150.0,4170.0,4150.0,3042900.0,4026.90283203125
2017-01-24,4210.0,4150.0,4150.0,4190.0,4114800.0,4065.71630859375
2017-01-25,4220.0,4170.0,4220.0,4180.0,3749900.0,4056.01318359375
2017-01-26,4280.0,4200.0,4220.0,4240.0,7710500.0,4114.2333984375
2017-01-27,4250.0,4200.0,4240.0,4220.0,2716500.0,4094.82666015625
2017-01-30,4250.0,4180.0,4210.0,4230.0,3173700.0,4104.52978515625
2017-01-31,4280.0,4210.0,4220.0,4220.0,6595900.0,4094.82666015625
2017-02-01,4260.0,4210.0,4220.0,4240.0,5179000.0,4114.2333984375
2017-02-02,4260.0,4220.0,4220.0,4250.0,4129300.0,4123.9365234375
2017-02-03,4270.0,4240.0,4250.0,4260.0,4086200.0,4133.64013671875
2017-02-06,4290.0,4250.0,4270.0,4250.0,4238200.0,4123.9365234375
2017-02-07,4260.0,4220.0,4250.0,4230.0,6925700.0,4104.52978515625
2017-02-08,4420.0,4260.0,4260.0,4380.0,24036900.0,4250.08056640625
2017-02-09,4680.0,4410.0,4410.0,4680.0,31242900.0,4541.181640625
2017-02-10,4810.0,4610.0,4710.0,4770.0,25757200.0,4628.51220703125
2017-02-13,4830.0,4730.0,4770.0,4790.0,17015600.0,4647.91943359375
2017-02-14,4830.0,4770.0,4790.0,4780.0,11045100.0,4638.2158203125
2017-02-15,4780.0,4780.0,4780.0,4780.0,0.0,4638.2158203125
2017-02-16,4800.0,4690.0,4790.0,4760.0,11977600.0,4618.80908203125
2017-02-17,4750.0,4680.0,4750.0,4700.0,5671900.0,4560.5888671875
2017-02-20,4750.0,4650.0,4700.0,4750.0,6570600.0,4609.10595703125
2017-02-21,4760.0,4670.0,4750.0,4670.0,3510400.0,4531.478515625
2017-02-22,4750.0,4640.0,4690.0,4730.0,11189100.0,4589.69873046875
2017-02-23,4990.0,4730.0,4730.0,4960.0,26860800.0,4812.876953125
2017-02-24,4990.0,4860.0,4990.0,4860.0,12252600.0,4715.8427734375
2017-02-27,4900.0,4840.0,4860.0,4860.0,6655200.0,4715.8427734375
2017-02-28,4890.0,4760.0,4860.0,4780.0,8103000.0,4638.2158203125
2017-03-01,4770.0,4660.0,4770.0,4660.0,8153600.0,4521.775390625
2017-03-02,4820.0,4670.0,4670.0,4810.0,7477400.0,4667.32568359375
2017-03-03,4810.0,4660.0,4810.0,4680.0,10542500.0,4541.181640625
2017-03-06,4690.0,4570.0,4680.0,4580.0,11191100.0,4444.1484375
2017-03-07,4640.0,4500.0,4580.0,4510.0,11408500.0,4376.22412109375
2017-03-08,4590.0,4490.0,4510.0,4580.0,8283100.0,4444.1484375
2017-03-09,4620.0,4520.0,4530.0,4530.0,5856900.0,4395.63134765625
2017-03-10,4560.0,4430.0,4540.0,4440.0,9945300.0,4308.30078125
2017-03-13,4540.0,4440.0,4440.0,4510.0,3692100.0,4376.22412109375
2017-03-14,4650.0,4520.0,4550.0,4630.0,9457400.0,4492.6650390625
2017-03-15,4640.0,4570.0,4630.0,4590.0,2854200.0,4453.8515625
2017-03-16,4630.0,4570.0,4630.0,4630.0,5150300.0,4492.6650390625
2017-03-17,4740.0,4640.0,4650.0,4740.0,9634500.0,4599.40234375
2017-03-20,4750.0,4690.0,4740.0,4740.0,6784400.0,4599.40234375
2017-03-21,4750.0,4650.0,4720.0,4660.0,5814200.0,4521.775390625
2017-03-22,4670.0,4630.0,4660.0,4660.0,8919600.0,4521.775390625
2017-03-23,4670.0,4600.0,4640.0,4660.0,6000900.0,4598.84423828125
2017-03-24,4660.0,4530.0,4630.0,4550.0,10103400.0,4490.28759765625
2017-03-27,4570.0,4490.0,4570.0,4570.0,5629400.0,4510.025390625
2017-03-29,4590.0,4520.0,4550.0,4540.0,7704900.0,4480.4189453125
2017-03-30,4630.0,4530.0,4630.0,4630.0,9247000.0,4569.23779296875
2017-03-31,4630.0,4570.0,4620.0,4620.0,5159500.0,4559.369140625
2017-04-03,4640.0,4580.0,4610.0,4580.0,2527400.0,4519.89404296875
2017-04-04,4710.0,4570.0,4580.0,4710.0,11276700.0,4648.18798828125
2017-04-05,4720.0,4670.0,4710.0,4710.0,6714200.0,4648.18798828125
